$0;1776135780121573871;1.15-SNAPSHOT;KIEKER;7fc98c33473d;1;false;0;NANOSECONDS;0
$1;1776135859459393826;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374278;1776135859269819675;1776135859459381305;7fc98c33473d;0;0
$1;1776135859955550657;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374279;1776135859923852421;1776135859955505011;7fc98c33473d;1;1
$1;1776135859982151835;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374279;1776135859956488797;1776135859982118578;7fc98c33473d;2;1
$1;1776135860006176016;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374279;1776135859982906903;1776135860006143157;7fc98c33473d;5;1
$1;1776135860009616461;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374279;1776135859923822288;1776135860009596713;7fc98c33473d;0;0
$1;1776135860213090293;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374280;1776135860192882865;1776135860213066794;7fc98c33473d;1;1
$1;1776135860256955556;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374280;1776135860213172271;1776135860256925040;7fc98c33473d;2;1
$1;1776135860282518919;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374280;1776135860257056710;1776135860282489374;7fc98c33473d;5;1
$1;1776135860286679454;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374280;1776135860192860993;1776135860286657222;7fc98c33473d;0;0
$1;1776135860378822161;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374281;1776135860359350591;1776135860378782701;7fc98c33473d;1;1
$1;1776135860400716239;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374281;1776135860378913491;1776135860400692445;7fc98c33473d;2;1
$1;1776135860434065628;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374281;1776135860400801052;1776135860434041415;7fc98c33473d;5;1
$1;1776135860465248665;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374281;1776135860359328106;1776135860465210896;7fc98c33473d;0;0
$1;1776135860952332459;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374282;1776135860931394804;1776135860952293489;7fc98c33473d;1;1
$1;1776135860967713494;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374282;1776135860953102674;1776135860967691521;7fc98c33473d;2;1
$1;1776135860982658322;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374282;1776135860968135971;1776135860982629493;7fc98c33473d;5;1
$1;1776135860984792050;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374282;1776135860931373258;1776135860984778178;7fc98c33473d;0;0
$1;1776135861066813167;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374283;1776135861051248946;1776135861066790310;7fc98c33473d;1;1
