timestamp,status,response_time_ms,http_code
1776116107558,up,200,200
1776116109051,up,84,200
1776116110274,up,85,200
1776116111396,up,207,200
1776116112632,up,86,200
1776116113764,up,246,200
1776116115065,up,294,200
1776116116394,up,144,200
1776116117573,up,101,200
1776116118713,up,132,200
1776116119871,up,39,200
1776116120938,up,69,200
1776116122034,up,107,200
1776116123188,up,174,200
1776116124453,up,200,200
1776116125682,up,468,200
1776116127190,up,600,200
1776116128877,up,175,200
1776116130098,up,335,200
1776116131487,up,213,200
1776116132770,up,131,200
1776116133969,down,5001,000
1776116140008,down,5001,000
1776116146058,down,5001,000
1776116152097,down,5001,000
1776116158188,down,5002,000
1776116164286,down,5001,000
1776116170379,down,5000,000
1776116176505,down,5000,000
1776116182574,down,5002,000
1776116188672,down,5001,000
1776116194768,down,5001,000
1776116201028,down,5001,000
1776116207091,down,5001,000
1776116213157,down,5001,000
1776116219205,down,5001,000
1776116225276,down,5002,000
1776116231364,down,5000,000
1776116238173,down,5001,000
