$0;1776115984971216518;1.15-SNAPSHOT;KIEKER;8cad34572494;1;false;0;NANOSECONDS;0
$1;1776116111168225617;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8768226999513645063;1776116111151304890;1776116111168199444;8cad34572494;1;1
$1;1776116111212074447;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8768226999513645063;1776116111168327973;1776116111212041891;8cad34572494;2;1
$1;1776116111257053924;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8768226999513645063;1776116111212187563;1776116111257023897;8cad34572494;5;1
$1;1776116111260368698;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8768226999513645063;1776116111151271395;1776116111260347696;8cad34572494;0;0
$1;1776116111491443559;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8768226999513645064;1776116111419540764;1776116111491408734;8cad34572494;1;1
$1;1776116111512190089;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8768226999513645064;1776116111491561194;1776116111512168635;8cad34572494;2;1
$1;1776116111596352908;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8768226999513645064;1776116111512964932;1776116111596327872;8cad34572494;5;1
$1;1776116111611198897;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8768226999513645064;1776116111419509728;1776116111611174102;8cad34572494;0;0
$1;1776116111675969315;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8768226999513645065;1776116111653177576;1776116111675939325;8cad34572494;1;1
$1;1776116111693678099;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8768226999513645065;1776116111676080978;1776116111693648394;8cad34572494;2;1
$1;1776116111755329957;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8768226999513645065;1776116111694205950;1776116111755300696;8cad34572494;5;1
$1;1776116111764097722;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8768226999513645065;1776116111653146844;1776116111764070415;8cad34572494;0;0
$1;1776116112512494118;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8768226999513645066;1776116112491712988;1776116112512469777;8cad34572494;1;1
