$0;1776058171707167229;1.15-SNAPSHOT;KIEKER;d42fbf5d1d98;1;false;0;NANOSECONDS;0
$1;1776058296743983587;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6562166869543878662;1776058296664375226;1776058296743966342;d42fbf5d1d98;0;0
$1;1776058297361212781;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6562166869543878663;1776058297345243226;1776058297361190743;d42fbf5d1d98;1;1
$1;1776058297375290889;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6562166869543878663;1776058297361600200;1776058297375268097;d42fbf5d1d98;2;1
$1;1776058297388870375;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6562166869543878663;1776058297376908876;1776058297388848810;d42fbf5d1d98;5;1
$1;1776058297390696609;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6562166869543878663;1776058297345184023;1776058297390684936;d42fbf5d1d98;0;0
$1;1776058297624525538;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6562166869543878664;1776058297607916850;1776058297624503685;d42fbf5d1d98;1;1
$1;1776058297734000687;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6562166869543878664;1776058297624624577;1776058297733978000;d42fbf5d1d98;2;1
$1;1776058297745937464;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6562166869543878664;1776058297734081756;1776058297745914990;d42fbf5d1d98;5;1
$1;1776058297795386423;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6562166869543878665;1776058297774218622;1776058297795363654;d42fbf5d1d98;1;1
$1;1776058297799397846;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6562166869543878664;1776058297607885940;1776058297799370568;d42fbf5d1d98;0;0
