timestamp,status,response_time_ms,http_code
1776138341202,up,273,200
1776138343280,up,259,200
1776138344899,up,77,200
1776138346013,up,94,200
1776138347163,up,70,200
1776138348277,up,330,200
1776138349655,up,293,200
1776138350998,up,261,200
1776138352290,up,76,200
1776138353403,up,4549,200
1776138359007,down,5001,000
1776138365090,down,5003,000
1776138371134,down,5003,000
1776138377262,down,5002,000
1776138383797,down,5000,000
1776138389893,down,5000,000
1776138395933,down,5002,000
1776138402018,down,5001,000
1776138408110,down,5002,000
1776138414305,down,5001,000
1776138420563,down,5002,000
1776138426788,down,5001,000
1776138433074,down,5001,000
1776138439780,down,5002,000
1776138447264,down,5004,000
1776138453426,down,5016,000
1776138460192,down,5002,000
1776138467891,down,5001,000
