timestamp,status,response_time_ms,http_code
1776125027099,up,209,200
1776125028645,up,627,200
1776125030987,up,75,200
1776125032097,up,188,200
1776125033315,up,139,200
1776125034530,up,222,200
1776125035791,up,55,200
1776125036878,up,265,200
1776125038184,up,71,200
1776125039297,up,39,200
1776125040370,up,219,200
1776125041663,up,75,200
1776125042776,up,168,200
1776125043988,up,218,200
1776125045271,up,132,200
1776125046473,up,184,200
1776125047685,up,193,200
1776125048914,up,239,200
1776125050187,up,322,200
1776125051555,up,96,200
1776125052678,up,174,200
1776125053885,up,194,200
1776125055110,up,790,200
1776125056934,up,884,200
1776125058877,up,1307,200
1776125061233,down,5002,000
1776125067295,up,350,200
1776125068685,up,2657,200
1776125072385,down,5001,000
1776125078420,down,5000,000
1776125084481,down,5000,000
1776125090526,down,5000,000
1776125096567,down,5001,000
1776125102610,down,5002,000
1776125108653,down,5004,000
1776125114728,down,5000,000
1776125120781,down,5001,000
1776125126814,down,5001,000
1776125132846,down,5001,000
1776125138888,down,5001,000
1776125144947,down,5001,000
1776125150983,down,5000,000
1776125157029,down,5002,000
