$0;1776129739865100523;1.15-SNAPSHOT;KIEKER;1fdd072a47d5;1;false;0;NANOSECONDS;0
$1;1776129869769279698;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140073989;1776129869488594502;1776129869769246445;1fdd072a47d5;0;0
$1;1776129870049696646;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140073991;1776129869990115563;1776129870049661334;1fdd072a47d5;1;1
$1;1776129870064706681;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140073991;1776129870050198386;1776129870064596542;1fdd072a47d5;2;1
$1;1776129870087895552;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140073991;1776129870065265390;1776129870087869927;1fdd072a47d5;5;1
$1;1776129870093680504;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140073991;1776129869990085818;1776129870093657684;1fdd072a47d5;0;0
$1;1776129870207657855;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140073992;1776129870178766742;1776129870207630306;1fdd072a47d5;1;1
$1;1776129870226888400;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140073992;1776129870208098038;1776129870226865384;1fdd072a47d5;2;1
$1;1776129870263391589;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140073992;1776129870227724674;1776129870263354339;1fdd072a47d5;5;1
$1;1776129870276588030;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140073992;1776129870178736606;1776129870276557785;1fdd072a47d5;0;0
$1;1776129870639256858;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140073993;1776129870616565204;1776129870639230643;1fdd072a47d5;1;1
$1;1776129870665580997;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140073993;1776129870639332954;1776129870665546227;1fdd072a47d5;2;1
$1;1776129870683874543;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140073993;1776129870666256262;1776129870683852094;1fdd072a47d5;5;1
$1;1776129870686203115;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140073993;1776129870616532842;1776129870686186660;1fdd072a47d5;0;0
$1;1776129871024374578;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140073994;1776129871009641208;1776129871024334773;1fdd072a47d5;1;1
$1;1776129871042313318;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140073994;1776129871025019818;1776129871042280079;1fdd072a47d5;2;1
$1;1776129871061850243;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140073994;1776129871042894510;1776129871061798802;1fdd072a47d5;5;1
$1;1776129871070565894;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140073994;1776129871009620618;1776129871070527436;1fdd072a47d5;0;0
$1;1776129871315405227;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140073995;1776129871298395210;1776129871315371084;1fdd072a47d5;1;1
$1;1776129871345086339;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140073995;1776129871315509841;1776129871345057339;1fdd072a47d5;2;1
