$0;1776129380382921031;1.15-SNAPSHOT;KIEKER;1d1e0cfaac31;1;false;0;NANOSECONDS;0
$1;1776129508231369295;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590661;1776129508082908910;1776129508231341564;1d1e0cfaac31;0;0
$1;1776129508628268817;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590663;1776129508599352445;1776129508628233872;1d1e0cfaac31;1;1
$1;1776129508682076554;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590663;1776129508628371567;1776129508682042375;1d1e0cfaac31;2;1
$1;1776129508697733968;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590663;1776129508682183115;1776129508697701415;1d1e0cfaac31;5;1
$1;1776129508701249429;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590663;1776129508599317011;1776129508701226754;1d1e0cfaac31;0;0
$1;1776129508805708046;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590664;1776129508789196961;1776129508805677533;1d1e0cfaac31;1;1
$1;1776129508818845972;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590664;1776129508805784313;1776129508818818142;1d1e0cfaac31;2;1
$1;1776129508834873550;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590664;1776129508818933535;1776129508834849888;1d1e0cfaac31;5;1
$1;1776129508837586378;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590664;1776129508789164232;1776129508837573680;1d1e0cfaac31;0;0
$1;1776129509248897400;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590665;1776129509228297388;1776129509248865304;1d1e0cfaac31;1;1
