$0;1776117081203445080;1.15-SNAPSHOT;KIEKER;3cff4cba5857;1;false;0;NANOSECONDS;0
$1;1776117208961609090;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4540472849319591943;1776117208907607912;1776117208961578052;3cff4cba5857;2;1
$1;1776117208968486634;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4540472849319591942;1776117208910108255;1776117208968466074;3cff4cba5857;5;1
$1;1776117208977161464;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4540472849319591942;1776117208862848773;1776117208977132474;3cff4cba5857;0;0
$1;1776117209002645829;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4540472849319591943;1776117208961688211;1776117209002619926;3cff4cba5857;5;1
$1;1776117209004709483;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4540472849319591943;1776117208891116655;1776117209004693881;3cff4cba5857;0;0
$1;1776117209175772188;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4540472849319591944;1776117209153003453;1776117209175746931;3cff4cba5857;1;1
$1;1776117209222824086;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4540472849319591944;1776117209176189526;1776117209222780721;3cff4cba5857;2;1
$1;1776117209269356407;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4540472849319591944;1776117209222924929;1776117209269329054;3cff4cba5857;5;1
$1;1776117209276753425;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4540472849319591944;1776117209152969320;1776117209276727112;3cff4cba5857;0;0
$1;1776117209665005237;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4540472849319591945;1776117209651882653;1776117209664973837;3cff4cba5857;1;1
$1;1776117209690159894;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4540472849319591945;1776117209671339318;1776117209690131756;3cff4cba5857;2;1
