$0;1776123251299619226;1.15-SNAPSHOT;KIEKER;1857f8fc5c39;1;false;0;NANOSECONDS;0
$1;1776123378454853620;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690630;1776123378394728277;1776123378454824200;1857f8fc5c39;0;0
$1;1776123378695468826;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1813121062481690631;1776123378672973367;1776123378695433237;1857f8fc5c39;1;1
$1;1776123378722608045;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1813121062481690631;1776123378696154613;1776123378722581892;1857f8fc5c39;2;1
$1;1776123378768017754;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1813121062481690631;1776123378723032580;1776123378767993279;1857f8fc5c39;5;1
$1;1776123378783075155;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690631;1776123378672949931;1776123378783053129;1857f8fc5c39;0;0
$1;1776123378852160631;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1813121062481690632;1776123378799235783;1776123378852113031;1857f8fc5c39;1;1
$1;1776123378872232013;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1813121062481690632;1776123378852308102;1776123378872203953;1857f8fc5c39;2;1
$1;1776123378890262876;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1813121062481690632;1776123378872320854;1776123378890233457;1857f8fc5c39;5;1
$1;1776123378892274007;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690632;1776123378799201346;1776123378892260854;1857f8fc5c39;0;0
$1;1776123379197323096;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1813121062481690633;1776123379176929403;1776123379197276025;1857f8fc5c39;1;1
$1;1776123379217864136;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1813121062481690633;1776123379198020657;1776123379217828273;1857f8fc5c39;2;1
$1;1776123379252128799;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1813121062481690633;1776123379218511442;1776123379252078861;1857f8fc5c39;5;1
$1;1776123379258598243;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690633;1776123379176894226;1776123379258572338;1857f8fc5c39;0;0
$1;1776123380025696023;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1813121062481690634;1776123379976157907;1776123380025658739;1857f8fc5c39;1;1
$1;1776123380091771892;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1813121062481690636;1776123380030303812;1776123380091719719;1857f8fc5c39;1;1
$1;1776123380116017331;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1813121062481690634;1776123380025792790;1776123380115964425;1857f8fc5c39;2;1
