$0;1776121419952662134;1.15-SNAPSHOT;KIEKER;d1f6ee30b014;1;false;0;NANOSECONDS;0
$1;1776121540168510291;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1524749948841623558;1776121540031527110;1776121540168496853;d1f6ee30b014;0;0
$1;1776121540272578675;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1524749948841623559;1776121540223919763;1776121540272531153;d1f6ee30b014;1;1
$1;1776121540301659404;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1524749948841623559;1776121540272692301;1776121540301621474;d1f6ee30b014;2;1
$1;1776121540322693639;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1524749948841623559;1776121540301766322;1776121540322668484;d1f6ee30b014;5;1
$1;1776121540324517721;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1524749948841623559;1776121540223877706;1776121540324504493;d1f6ee30b014;0;0
$1;1776121540329622950;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1524749948841623560;1776121540312221614;1776121540329604523;d1f6ee30b014;1;1
$1;1776121540370646025;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1524749948841623560;1776121540329684993;1776121540370621955;d1f6ee30b014;2;1
$1;1776121540383998362;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1524749948841623560;1776121540370722181;1776121540383961021;d1f6ee30b014;5;1
$1;1776121540386706132;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1524749948841623560;1776121540312201003;1776121540386690257;d1f6ee30b014;0;0
$1;1776121540829913749;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1524749948841623561;1776121540819826885;1776121540829891004;d1f6ee30b014;1;1
$1;1776121540839100543;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1524749948841623561;1776121540830280293;1776121540839085130;d1f6ee30b014;2;1
$1;1776121540850626719;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1524749948841623561;1776121540839159283;1776121540850596112;d1f6ee30b014;5;1
$1;1776121540852790563;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1524749948841623561;1776121540819797490;1776121540852774830;d1f6ee30b014;0;0
$1;1776121541411718723;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1524749948841623562;1776121541388134763;1776121541411686243;d1f6ee30b014;1;1
$1;1776121541432694065;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1524749948841623562;1776121541412216906;1776121541432663814;d1f6ee30b014;2;1
$1;1776121541457891772;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1524749948841623562;1776121541433077401;1776121541457857833;d1f6ee30b014;5;1
