$0;1776117817428930433;1.15-SNAPSHOT;KIEKER;d815357b3c45;1;false;0;NANOSECONDS;0
$1;1776117943760391557;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3065543971355754503;1776117943743544247;1776117943760370462;d815357b3c45;1;1
$1;1776117943788938695;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3065543971355754504;1776117943757465840;1776117943788913705;d815357b3c45;1;1
$1;1776117943833445975;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3065543971355754503;1776117943767134330;1776117943833423310;d815357b3c45;2;1
$1;1776117943874520923;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3065543971355754504;1776117943789200491;1776117943874499448;d815357b3c45;2;1
$1;1776117943875367515;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3065543971355754503;1776117943833516658;1776117943875352626;d815357b3c45;5;1
$1;1776117943882828568;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3065543971355754503;1776117943743518257;1776117943882799101;d815357b3c45;0;0
$1;1776117943903191414;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3065543971355754504;1776117943874593176;1776117943903157584;d815357b3c45;5;1
$1;1776117943912235245;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3065543971355754504;1776117943757446405;1776117943912204440;d815357b3c45;0;0
$1;1776117944030838068;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3065543971355754505;1776117944011799356;1776117944030814188;d815357b3c45;1;1
$1;1776117944071309235;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3065543971355754505;1776117944030908758;1776117944071275510;d815357b3c45;2;1
