$0;1776133985251509540;1.15-SNAPSHOT;KIEKER;eddfecabd279;1;false;0;NANOSECONDS;0
$1;1776134062470227955;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;755197362514690055;1776134062450850449;1776134062470204288;eddfecabd279;1;1
$1;1776134062481998710;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;755197362514690055;1776134062470673140;1776134062481975672;eddfecabd279;2;1
$1;1776134062499769168;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;755197362514690055;1776134062482479717;1776134062499735116;eddfecabd279;5;1
$1;1776134062502228205;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;755197362514690055;1776134062450792878;1776134062502210635;eddfecabd279;0;0
$1;1776134062720178805;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;755197362514690056;1776134062699566014;1776134062720140228;eddfecabd279;1;1
$1;1776134062754087726;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;755197362514690056;1776134062720270419;1776134062754048327;eddfecabd279;2;1
$1;1776134062780742538;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;755197362514690056;1776134062754212705;1776134062780717953;eddfecabd279;5;1
$1;1776134062789720830;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;755197362514690056;1776134062699545553;1776134062789694472;eddfecabd279;0;0
$1;1776134062891980254;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;755197362514690057;1776134062865513573;1776134062891944828;eddfecabd279;1;1
$1;1776134062922117132;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;755197362514690057;1776134062892082769;1776134062922084210;eddfecabd279;2;1
