$0;1776134293473230467;1.15-SNAPSHOT;KIEKER;63694ba7d325;1;false;0;NANOSECONDS;0
$1;1776134374593542023;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7880032710503170055;1776134374580157390;1776134374593510618;63694ba7d325;1;1
$1;1776134374634781878;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7880032710503170055;1776134374594923469;1776134374634756985;63694ba7d325;2;1
$1;1776134374658087673;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7880032710503170055;1776134374635254462;1776134374658059619;63694ba7d325;5;1
$1;1776134374668023586;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7880032710503170055;1776134374580116672;1776134374667996242;63694ba7d325;0;0
$1;1776134374937204170;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7880032710503170056;1776134374920909045;1776134374937179265;63694ba7d325;1;1
$1;1776134374948648480;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7880032710503170056;1776134374937627912;1776134374948626780;63694ba7d325;2;1
$1;1776134374949233019;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7880032710503170057;1776134374921308212;1776134374949217372;63694ba7d325;1;1
$1;1776134374963845599;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7880032710503170057;1776134374949285621;1776134374963823572;63694ba7d325;2;1
$1;1776134374979406522;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7880032710503170056;1776134374949028249;1776134374979374167;63694ba7d325;5;1
$1;1776134374982918078;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7880032710503170056;1776134374920876970;1776134374982890363;63694ba7d325;0;0
