timestamp,status,response_time_ms,http_code
1776138705200,up,346,200
1776138707043,up,187,200
1776138708377,up,130,200
1776138709555,up,212,200
1776138710797,up,194,200
1776138712025,up,171,200
1776138713228,up,86,200
1776138714357,up,75,200
1776138715471,up,110,200
1776138716618,up,177,200
1776138717828,up,33,200
1776138718890,up,187,200
1776138720112,up,305,200
1776138721467,up,120,200
1776138722613,up,186,200
1776138723832,up,274,200
1776138725166,up,376,200
1776138726576,up,85,200
1776138727707,up,99,200
1776138728870,up,289,200
1776138730193,up,214,200
1776138731503,down,5002,000
1776138737568,degraded,3930,500
1776138742536,degraded,3811,500
1776138747389,degraded,2024,500
1776138750481,degraded,2206,500
1776138753722,degraded,2342,500
1776138757113,degraded,3572,500
1776138761724,down,5001,000
1776138767778,down,5001,000
1776138773814,down,5001,000
1776138779887,down,5000,000
1776138785978,degraded,2953,500
1776138789997,down,5002,000
1776138796086,down,5001,000
1776138802125,down,5001,000
1776138808230,down,5004,000
1776138814401,down,5001,000
1776138820625,down,5002,000
1776138827220,down,5001,000
1776138834428,down,5001,000
