timestamp,status,response_time_ms,http_code
1776137979795,up,504,200
1776137981598,up,91,200
1776137982836,up,90,200
1776137983989,up,54,200
1776137985071,up,66,200
1776137986186,up,148,200
1776137987377,up,162,200
1776137988573,up,270,200
1776137989882,up,97,200
1776137991020,up,75,200
1776137992177,up,57,200
1776137993273,up,105,200
1776137994424,up,95,200
1776137995570,up,285,200
1776137996880,up,67,200
1776137997987,up,281,200
1776137999304,up,681,200
1776138001012,up,73,200
1776138002120,up,343,200
1776138003524,up,207,200
1776138004773,up,92,200
1776138005905,up,129,200
1776138007068,up,50,200
1776138008168,up,128,200
1776138009360,up,3218,200
1776138013609,up,1251,200
1776138015902,down,5003,000
1776138022128,down,5001,000
1776138028214,down,5002,000
1776138034301,down,5001,000
1776138040386,down,5002,000
1776138046510,down,5002,000
1776138052612,down,5001,000
1776138058671,down,5003,000
1776138064757,down,5001,000
1776138070859,down,5000,000
1776138076954,down,5001,000
1776138082995,down,5002,000
1776138089064,down,5001,000
1776138095120,down,5001,000
1776138101216,down,5002,000
1776138107288,down,5001,000
