$0;1776122142362087434;1.15-SNAPSHOT;KIEKER;6b5b030c8ee1;1;false;0;NANOSECONDS;0
$1;1776122267808368763;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6579899793076649990;1776122267585083203;1776122267808335413;6b5b030c8ee1;0;0
$1;1776122267916375224;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076649991;1776122267864031569;1776122267916342006;6b5b030c8ee1;1;1
$1;1776122267967230877;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076649991;1776122267916484811;1776122267967192223;6b5b030c8ee1;2;1
$1;1776122267977748986;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076649992;1776122267920738173;1776122267977724238;6b5b030c8ee1;1;1
$1;1776122267999631432;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076649991;1776122267967335919;1776122267999605627;6b5b030c8ee1;5;1
$1;1776122268003175917;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6579899793076649991;1776122267863987789;1776122268003158029;6b5b030c8ee1;0;0
$1;1776122268010869759;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076649992;1776122267982281899;1776122268010834647;6b5b030c8ee1;2;1
$1;1776122268027045384;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076649992;1776122268010983685;1776122268027020747;6b5b030c8ee1;5;1
$1;1776122268029163433;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6579899793076649992;1776122267920718312;1776122268029150505;6b5b030c8ee1;0;0
$1;1776122268131960536;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076649993;1776122268120628285;1776122268131938086;6b5b030c8ee1;1;1
