$0;1776137129911944103;1.15-SNAPSHOT;KIEKER;a57bcd82aed9;1;false;0;NANOSECONDS;0
$1;1776137251930009361;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4994632724242235398;1776137251854834294;1776137251929979201;a57bcd82aed9;0;0
$1;1776137252191255561;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4994632724242235399;1776137252181775985;1776137252191232617;a57bcd82aed9;1;1
$1;1776137252203586571;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4994632724242235399;1776137252191666003;1776137252203564818;a57bcd82aed9;2;1
$1;1776137252228191812;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4994632724242235399;1776137252203665149;1776137252228165115;a57bcd82aed9;5;1
$1;1776137252232457947;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4994632724242235399;1776137252181752736;1776137252232436907;a57bcd82aed9;0;0
$1;1776137252303182842;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4994632724242235400;1776137252282681103;1776137252303151691;a57bcd82aed9;1;1
$1;1776137252349927143;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4994632724242235400;1776137252303732357;1776137252349890351;a57bcd82aed9;2;1
$1;1776137252363878417;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4994632724242235400;1776137252350090558;1776137252363856013;a57bcd82aed9;5;1
$1;1776137252365696730;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4994632724242235400;1776137252282646179;1776137252365683526;a57bcd82aed9;0;0
$1;1776137252576908556;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4994632724242235401;1776137252559111551;1776137252576867493;a57bcd82aed9;1;1
