$0;1776116713620982472;1.15-SNAPSHOT;KIEKER;db7c4e112cbe;1;false;0;NANOSECONDS;0
$1;1776116838987442620;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6479131751414235142;1776116838889580422;1776116838987415032;db7c4e112cbe;0;0
$1;1776116839170869068;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6479131751414235143;1776116839152081078;1776116839170840721;db7c4e112cbe;1;1
$1;1776116839189832276;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6479131751414235143;1776116839171440318;1776116839189804961;db7c4e112cbe;2;1
$1;1776116839215477021;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6479131751414235143;1776116839190316820;1776116839215440340;db7c4e112cbe;5;1
$1;1776116839218614322;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6479131751414235143;1776116839152043048;1776116839218585392;db7c4e112cbe;0;0
$1;1776116839474920822;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6479131751414235144;1776116839429086566;1776116839474884760;db7c4e112cbe;1;1
$1;1776116839501574219;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6479131751414235145;1776116839477150995;1776116839501540361;db7c4e112cbe;1;1
$1;1776116839502325910;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6479131751414235144;1776116839475029603;1776116839502307267;db7c4e112cbe;2;1
$1;1776116839524999981;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6479131751414235145;1776116839501691780;1776116839524968733;db7c4e112cbe;2;1
$1;1776116839529176058;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6479131751414235144;1776116839502440826;1776116839529153432;db7c4e112cbe;5;1
