$0;1776140576263451108;1.15-SNAPSHOT;KIEKER;ab64560a3a36;1;false;0;NANOSECONDS;0
$1;1776140705334663913;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5917307697899765766;1776140705255577440;1776140705334651366;ab64560a3a36;0;0
$1;1776140706452829397;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5917307697899765767;1776140706413637838;1776140706452595024;ab64560a3a36;1;1
$1;1776140706585428575;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5917307697899765767;1776140706453279827;1776140706585396210;ab64560a3a36;2;1
$1;1776140706604957955;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5917307697899765767;1776140706585533451;1776140706604934110;ab64560a3a36;5;1
$1;1776140706610683239;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5917307697899765767;1776140706413291257;1776140706610663344;ab64560a3a36;0;0
$1;1776140707177494410;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5917307697899765768;1776140707125122318;1776140707177463974;ab64560a3a36;1;1
$1;1776140707226707910;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5917307697899765768;1776140707177591501;1776140707226683873;ab64560a3a36;2;1
$1;1776140707227048547;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5917307697899765769;1776140707198897862;1776140707227033599;ab64560a3a36;1;1
$1;1776140707292522825;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5917307697899765769;1776140707227099462;1776140707292493620;ab64560a3a36;2;1
$1;1776140707317325013;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5917307697899765768;1776140707228489404;1776140707317302975;ab64560a3a36;5;1
$1;1776140707319191173;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5917307697899765768;1776140707125101863;1776140707319177836;ab64560a3a36;0;0
$1;1776140707330498559;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5917307697899765769;1776140707292619049;1776140707330476087;ab64560a3a36;5;1
$1;1776140707332879447;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5917307697899765769;1776140707198878283;1776140707332863082;ab64560a3a36;0;0
$1;1776140707494523265;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5917307697899765770;1776140707476086698;1776140707494492704;ab64560a3a36;1;1
$1;1776140707509472312;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5917307697899765770;1776140707494649271;1776140707509440289;ab64560a3a36;2;1
$1;1776140707526033909;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5917307697899765770;1776140707509603655;1776140707526006711;ab64560a3a36;5;1
$1;1776140707528220658;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5917307697899765770;1776140707476054888;1776140707528206333;ab64560a3a36;0;0
$1;1776140707672529237;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5917307697899765771;1776140707658523708;1776140707672495385;ab64560a3a36;1;1
$1;1776140707687953994;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5917307697899765771;1776140707673046402;1776140707687926482;ab64560a3a36;2;1
$1;1776140707701252418;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5917307697899765771;1776140707688584158;1776140707701226139;ab64560a3a36;5;1
