timestamp,status,response_time_ms,http_code
1776118299778,up,421,200
1776118301386,up,112,200
1776118302762,up,66,200
1776118303858,up,143,200
1776118305027,up,220,200
1776118306303,up,76,200
1776118307406,up,67,200
1776118308527,up,62,200
1776118309618,up,43,200
1776118310702,up,41,200
1776118311770,up,56,200
1776118312849,up,70,200
1776118313969,up,92,200
1776118315110,up,722,200
1776118316879,up,189,200
1776118318101,up,371,200
1776118319515,up,404,200
1776118320987,up,305,200
1776118322330,up,108,200
1776118323512,up,236,200
1776118324819,up,156,200
1776118326033,up,140,200
1776118327280,up,797,200
1776118329159,up,121,200
1776118330316,up,493,200
1776118331915,up,1458,200
1776118334413,up,1847,200
1776118337477,up,1246,200
1776118339850,up,817,200
1776118341704,down,5003,000
1776118347877,down,5005,000
1776118354263,down,5001,000
1776118360728,down,5001,000
1776118367875,down,5001,000
1776118373930,down,5002,000
1776118379975,down,5000,000
1776118386605,down,5001,000
1776118394753,down,5002,000
1776118401075,down,5001,000
1776118407185,down,5002,000
1776118413272,down,5001,000
1776118424259,down,5000,000
1776118430326,down,5000,000
