$0;1776123628179151107;1.15-SNAPSHOT;KIEKER;081a83801f15;1;false;0;NANOSECONDS;0
$1;1776123751377197926;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8483515060570816519;1776123751361282247;1776123751377172176;081a83801f15;1;1
$1;1776123751399458775;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8483515060570816519;1776123751377283366;1776123751399433763;081a83801f15;2;1
$1;1776123751439643225;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8483515060570816519;1776123751399553276;1776123751439606006;081a83801f15;5;1
$1;1776123751451459442;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8483515060570816519;1776123751361258571;1776123751451437615;081a83801f15;0;0
$1;1776123751515260678;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8483515060570816520;1776123751500499473;1776123751515236908;081a83801f15;1;1
$1;1776123751535401318;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8483515060570816520;1776123751515338961;1776123751535379567;081a83801f15;2;1
$1;1776123751583679239;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8483515060570816520;1776123751535469837;1776123751583655345;081a83801f15;5;1
$1;1776123751590356041;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8483515060570816520;1776123751500463824;1776123751590336014;081a83801f15;0;0
$1;1776123751903446311;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8483515060570816521;1776123751866077583;1776123751903372296;081a83801f15;1;1
$1;1776123751954216770;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8483515060570816521;1776123751903623800;1776123751954190355;081a83801f15;2;1
