$0;1776137497199719098;1.15-SNAPSHOT;KIEKER;1f8fd1d935df;1;false;0;NANOSECONDS;0
$1;1776137620859674503;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3154630801484677126;1776137620716797567;1776137620859647578;1f8fd1d935df;0;0
$1;1776137621058695100;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3154630801484677127;1776137620994062474;1776137621058670690;1f8fd1d935df;1;1
$1;1776137621065779160;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3154630801484677128;1776137621006127682;1776137621065756670;1f8fd1d935df;1;1
$1;1776137621086727587;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3154630801484677127;1776137621058768151;1776137621086702128;1f8fd1d935df;2;1
$1;1776137621117416708;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3154630801484677128;1776137621065843405;1776137621117393163;1f8fd1d935df;2;1
$1;1776137621126417966;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3154630801484677127;1776137621087118552;1776137621126394036;1f8fd1d935df;5;1
$1;1776137621153800277;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3154630801484677127;1776137620994037419;1776137621153769968;1f8fd1d935df;0;0
$1;1776137621181871815;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3154630801484677128;1776137621117492814;1776137621181845800;1f8fd1d935df;5;1
$1;1776137621183798215;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3154630801484677128;1776137621006106025;1776137621183784935;1f8fd1d935df;0;0
$1;1776137621511125428;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3154630801484677129;1776137621495854068;1776137621511100836;1f8fd1d935df;1;1
